job_id,title,company_name,company_name_normalized,location,location_normalized,work_mode,posted_at,employment_type,seniority_level,offered_salary_min,offered_salary_max,offered_salary_currency,salary_period,salary_is_predicted,offered_salary_min_usd,offered_salary_max_usd,benefits,benefits_normalized,skill_score,semantic_score,score_total,matched_skills,status,apply_url,geocode_lat,geocode_lon
adzuna:5404992345,Technical Program Manager Hardware Quality,Cisco,,"Milpitas, Santa Clara County",,onsite,2025-09-18,,,137046.88,137046.88,USD,yearly,,137046.88,137046.88,,,0.0,0.6480118036270142,0.4436,"program management, risk management",new,https://www.adzuna.com/details/5404992345?utm_medium=api&utm_source=e1a466cc,37.435237,-121.895354
adzuna:5404369532,Technical Program Manager Hardware Quality,Cisco,,"Milpitas, Santa Clara County",,onsite,2025-09-17,full_time,,137381.22,137381.22,USD,yearly,,137381.22,137381.22,,,0.0,0.6057363003492355,0.403,data analysis,new,https://www.adzuna.com/details/5404369532?utm_medium=api&utm_source=e1a466cc,37.428272,-121.906624
adzuna:5405011610,"Senior Program Manager, Cybersecurity Projects",GFiber,,"Mountain View, Santa Clara County",,onsite,2025-09-18,,,176271.14,176271.14,USD,yearly,,176271.14,176271.14,,,0.0,0.6405012607574463,0.441,,new,https://www.adzuna.com/details/5405011610?utm_medium=api&utm_source=e1a466cc,37.378535,-122.086585
adzuna:5404210410,"Senior Program Manager, Cybersecurity Projects",GFiber,,"Mountain View, Santa Clara County",,onsite,2025-09-17,full_time,,160000.0,235000.0,USD,yearly,,160000.0,235000.0,,,0.0,0.5933057963848114,0.3986,,new,https://www.adzuna.com/details/5404210410?utm_medium=api&utm_source=e1a466cc,37.378535,-122.086585
adzuna:5401625243,Sr Program Manager - Optical Solutions,Molex,,"Fremont, Alameda County",,onsite,2025-09-16,,,180000.0,220000.0,USD,yearly,,180000.0,220000.0,,,0.0,0.5668124035000801,0.3692,,new,https://www.adzuna.com/details/5401625243?utm_medium=api&utm_source=e1a466cc,37.564143,-122.004179
adzuna:5401697881,Site Program Manager - Level 1,Think Together,,"Sunnyvale, Santa Clara County",,onsite,2025-09-16,full_time,,62733.86,62733.86,USD,yearly,,62733.86,62733.86,,,0.0,0.7009475082159042,0.4162,program management,new,https://www.adzuna.com/details/5401697881?utm_medium=api&utm_source=e1a466cc,37.3932,-122.03712
adzuna:5403332280,Staff Technical Program Manager - Infrastructure,Uber,,"Sunnyvale, Santa Clara County",,onsite,2025-09-17,,,130896.69,130896.69,USD,yearly,,130896.69,130896.69,,,0.0,0.7390498071908951,0.4496,"program management, product management, risk management",new,https://www.adzuna.com/details/5403332280?utm_medium=api&utm_source=e1a466cc,37.376099,-122.02194
adzuna:5403646496,Senior Recruiting Program Manager - Analytics,Applied Intuition,,"Mountain View, Santa Clara County",,onsite,2025-09-17,,,160000.0,180000.0,USD,yearly,,160000.0,180000.0,tuition,,0.0,0.6081741079688072,0.4038,,new,https://www.adzuna.com/details/5403646496?utm_medium=api&utm_source=e1a466cc,37.378535,-122.086585
adzuna:5401626218,Clinical Research Program Manager - PVH,Medtronic,,"Roseland, Sonoma County",,onsite,2025-09-16,,,131456.5,131456.5,USD,yearly,,131456.5,131456.5,equity,,0.0,0.5971345528960228,0.3799,,new,https://www.adzuna.com/details/5401626218?utm_medium=api&utm_source=e1a466cc,38.447237,-122.696357
adzuna:5401221726,Program Manager - Construction Management (Anticipated Opening),Turner & Townsend,,"San Jose, Santa Clara County",,onsite,2025-09-16,,,104263.24,104263.24,USD,yearly,,104263.24,104263.24,,,0.0,0.722812294960022,0.4238,"program management, stakeholder management, product management",new,https://www.adzuna.com/details/5401221726?utm_medium=api&utm_source=e1a466cc,37.390494,-121.885434
adzuna:5401221705,Program Manager - Construction Management (Anticipated Opening),Turner & Townsend,,"Santa Clara, Santa Clara County",,onsite,2025-09-16,,,101066.77,101066.77,USD,yearly,,101066.77,101066.77,,,0.0,0.722812294960022,0.4238,"program management, stakeholder management, product management",new,https://www.adzuna.com/details/5401221705?utm_medium=api&utm_source=e1a466cc,37.353966,-121.952999
adzuna:5404872993,"Product Technical Program Manager Sunnyvale, CA 6 locations Technical Program Management P[] (Sunnyvale)",Meta,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,,,165674.5,165674.5,USD,yearly,,165674.5,165674.5,,,0.0,0.7133255451917648,0.4665,"product management, program management, risk management",new,https://www.adzuna.com/details/5404872993?utm_medium=api&utm_source=e1a466cc,37.38953,-122.018391
adzuna:5404991390,"Staff, Technical Program Manager - Global Technology",Walmart,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,,,216278.2,216278.2,USD,yearly,,216278.2,216278.2,,,0.0,0.6946370899677277,0.4599,"program management, product management, risk management",new,https://www.adzuna.com/details/5404991390?utm_medium=api&utm_source=e1a466cc,37.376099,-122.02194
adzuna:5401626256,Principal Technical Program Manager - Azure Storage,Microsoft Corporation,,"Campbell, Santa Clara County",,onsite,2025-09-16,,,321310.25,321310.25,USD,yearly,,321310.25,321310.25,vision,,0.0,0.6103124395012856,0.3845,azure,new,https://www.adzuna.com/details/5401626256?utm_medium=api&utm_source=e1a466cc,37.304,-121.89093
adzuna:5401626247,Principal Technical Program Manager - Azure Storage,Microsoft Corporation,,"Mountain View, Santa Clara County",,onsite,2025-09-16,,,317006.47,317006.47,USD,yearly,,317006.47,317006.47,vision,,0.0,0.6103124395012856,0.3845,azure,new,https://www.adzuna.com/details/5401626247?utm_medium=api&utm_source=e1a466cc,37.39308,-122.07702
adzuna:5404991703,"Senior Technical Program Manager, Device OS",Amazon,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,,,185046.19,185046.19,USD,yearly,,185046.19,185046.19,,,0.0,0.5454863831400871,0.4077,,new,https://www.adzuna.com/details/5404991703?utm_medium=api&utm_source=e1a466cc,37.376099,-122.02194
adzuna:5405224880,"Sr Technical Program Manager, Device OS",Amazon,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,full_time,,133900.0,231400.0,USD,yearly,,133900.0,231400.0,,,0.0,0.6944127678871155,0.4599,"product management, stakeholder management, program management",new,https://www.adzuna.com/details/5405224880?utm_medium=api&utm_source=e1a466cc,37.38953,-122.018391
adzuna:5404991623,"Sr Technical Program Manager, Device OS",Amazon,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,,,295216.9,295216.9,USD,yearly,,295216.9,295216.9,,,0.0,0.6968588978052139,0.4607,"product management, stakeholder management, program management",new,https://www.adzuna.com/details/5404991623?utm_medium=api&utm_source=e1a466cc,37.376099,-122.02194
adzuna:5401628644,Program Manager - Construction Management (Anticipated Opening),Turner & Townsend,,"Campbell, Santa Clara County",,onsite,2025-09-16,,,104494.58,104494.58,USD,yearly,,104494.58,104494.58,,,0.0,0.6873628199100494,0.4114,,new,https://www.adzuna.com/details/5401628644?utm_medium=api&utm_source=e1a466cc,37.304,-121.89093
adzuna:5401628639,Program Manager - Construction Management (Anticipated Opening),Turner & Townsend,,"Holy, Santa Clara County",,onsite,2025-09-16,,,109734.15,109734.15,USD,yearly,,109734.15,109734.15,,,0.0,0.6873628199100494,0.4114,,new,https://www.adzuna.com/details/5401628639?utm_medium=api&utm_source=e1a466cc,37.396999,-121.953652
adzuna:5401699857,"Retail Program Manager - San Jose, CA",ARS,,"San Jose, Santa Clara County",,onsite,2025-09-16,full_time,,67322.03,67322.03,USD,yearly,,67322.03,67322.03,"bonus, annual bonus",,0.0,0.6345258802175522,0.3929,,new,https://www.adzuna.com/details/5401699857?utm_medium=api&utm_source=e1a466cc,37.386721,-121.89708
adzuna:5404991412,"Senior Analyst, Program Management - Workplace Hospitality",Walmart,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,,,86594.52,86594.52,USD,yearly,,86594.52,86594.52,,,0.0,0.5935591012239456,0.4246,,new,https://www.adzuna.com/details/5404991412?utm_medium=api&utm_source=e1a466cc,37.376099,-122.02194
